group_type,group,variable,missing_pct,mean,p50,p90
overall,overall,riego_any,0.0,0.5968113223633729,1.0,1.0
overall,overall,riego_share,0.0,0.5068732273468367,0.5,1.0
overall,overall,riego_tecnificado_any,0.4031886776366272,0.31314285714285717,0.0,1.0
overall,overall,riego_tecnificado_share,0.4031886776366272,0.26256044278366825,0.0,1.0
overall,overall,usuario_agua,0.049535339756159945,0.44991627795718214,0.0,1.0
overall,overall,gasto_agua_riego,0.0001989371074544576,9864.841500852757,0.0,700.0
overall,overall,uso_maquinaria,0.00011367834711683292,0.7159139357075861,1.0,1.0
overall,overall,num_maquinaria_equipo,0.2841674482053031,3.5497062093060188,1.0,6.0
overall,overall,gasto_compra_equipos,0.0001989371074544576,1194.6612563956794,0.0,0.0
overall,overall,gasto_compra_maquinaria,0.0001989371074544576,2911.2320636725412,0.0,0.0
overall,overall,gasto_alquiler_mant_equipos,0.0001989371074544576,4172.600426378624,0.0,240.0
overall,overall,gasto_semilla,0.315684769943445,5115.163046638149,445.0,3900.0
overall,overall,usa_abono,5.683917355841646e-05,0.6073326701719483,1.0,1.0
overall,overall,usa_fertilizantes,5.683917355841646e-05,0.5870115105868978,1.0,1.0
overall,overall,semilla_semillero_any,5.683917355841646e-05,0.1224101179479892,0.0,1.0
overall,overall,semilla_comercial_any,5.683917355841646e-05,0.27332670171948276,0.0,1.0
overall,overall,semilla_certificada_any,0.2864978543211982,0.14418864016569743,0.0,1.0
overall,overall,semilla_certificada_share,0.2864978543211982,0.11755760504130866,0.0,0.6666666666666666
overall,overall,capacitacion_recibida,8.525876033762469e-05,0.09762960436562074,0.0,0.0
overall,overall,asistencia_tecnica_recibida,8.525876033762469e-05,0.05732719417917235,0.0,0.0
overall,overall,credito_obtenido,0.8660300679228125,0.9325413661434027,1.0,1.0
overall,overall,nivel_educacion,0.03163100008525876,4.544403357398603,4.0,8.0
overall,overall,asociacion_miembro,8.525876033762469e-05,0.07952478399272396,0.0,0.0
overall,overall,asociacion_num,8.525876033762469e-05,0.08367439745338791,0.0,0.0
region,1,riego_any,0.0,0.9584896526685224,1.0,1.0
region,1,riego_share,0.0,0.9497542257152228,1.0,1.0
region,1,riego_tecnificado_any,0.041510347331477675,0.23926767676767677,0.0,1.0
region,1,riego_tecnificado_share,0.041510347331477675,0.20227707643865447,0.0,1.0
region,1,usuario_agua,0.10843519302916617,0.7469797746708293,1.0,1.0
region,1,gasto_agua_riego,0.0006051071039574004,41741.50666020828,400.0,6000.0
region,1,uso_maquinaria,0.00024204284158296018,0.8379130855828593,1.0,1.0
region,1,num_maquinaria_equipo,0.1622897252813748,5.126119618607339,3.0,10.0
region,1,gasto_compra_equipos,0.0006051071039574004,4633.40917897796,0.0,0.0
region,1,gasto_compra_maquinaria,0.0006051071039574004,11520.620489222572,0.0,0.0
region,1,gasto_alquiler_mant_equipos,0.0006051071039574004,16576.879874061517,0.0,1000.0
region,1,gasto_semilla,0.46230182742345394,22328.694575737114,1500.0,18473.200000000004
region,1,usa_abono,0.00012102142079148009,0.44795449043815055,0.0,1.0
region,1,usa_fertilizantes,0.00012102142079148009,0.8537884289518276,1.0,1.0
region,1,semilla_semillero_any,0.00012102142079148009,0.1718712176228516,0.0,1.0
region,1,semilla_comercial_any,0.00012102142079148009,0.3028322440087146,0.0,1.0
region,1,semilla_certificada_any,0.437371414740409,0.5183910518391052,1.0,1.0
region,1,semilla_certificada_share,0.437371414740409,0.43963069913096275,0.2857142857142857,1.0
