"model","term","estimate","std_error","z_value","p_value","odds_ratio"
"alt_shannon","(Intercept)",0.166707817014825,0.422163322785131,0.3948893899996,0.692945772021669,1.18140902725818
"alt_shannon","diversif_alt",0.641281197001848,0.149096901050782,4.30110346011438,1.74044241782726e-05,1.89891220209073
"alt_shannon","size_catmediano_2_5ha",0.104754390254083,0.283985441403193,0.368872396192154,0.712242544217089,1.1104378425035
"alt_shannon","size_catpequeno_<2ha",0.279201989490657,0.36825216878628,0.758181521132318,0.448387405659827,1.3220743620282
"alt_shannon","log_area",-0.0272414437326397,0.15014454093438,-0.181434793187355,0.856035589587801,0.973126257921777
"alt_shannon","region_natural2",1.12993130130776,0.175812860548868,6.4268978832393,1.45671095069318e-10,3.09544383987637
"alt_shannon","region_natural3",-1.16455846579257,0.140033836393511,-8.31626480988518,1.2338292356644e-16,0.312060416967525
"alt_shannon","diversif_alt:size_catmediano_2_5ha",0.167323235976181,0.19620467681027,0.85279942709002,0.393822078096543,1.18213631254429
"alt_shannon","diversif_alt:size_catpequeno_<2ha",0.128793016168277,0.213854687417307,0.602245467348374,0.547045209425597,1.13745466507347
"alt_num_crops","(Intercept)",0.274312144116715,0.412989645948229,0.664210705541761,0.50659410445734,1.31562540288141
"alt_num_crops","diversif_alt2",0.117238439329397,0.0305771925976518,3.83417931371504,0.000127940782606178,1.12438749593101
"alt_num_crops","size_catmediano_2_5ha",-0.0607261903261556,0.277544633052489,-0.218797926871355,0.826818728603095,0.941080881551234
"alt_num_crops","size_catpequeno_<2ha",-0.0117769293164231,0.366400279110381,-0.0321422498504025,0.974360228906045,0.988292147279656
"alt_num_crops","log_area",0.0162481985451081,0.14673230971002,0.110733611276335,0.911833199205292,1.01638091836809
"alt_num_crops","region_natural2",1.29877815662339,0.16898417129537,7.68579770914303,1.9046953949025e-14,3.66481609962266
"alt_num_crops","region_natural3",-1.24345723920367,0.141049965342684,-8.81572169254107,1.74894972329798e-18,0.288385474917423
"alt_num_crops","diversif_alt2:size_catmediano_2_5ha",0.087800901543612,0.044684409163594,1.96491132336928,0.0494942573569316,1.09177073052058
"alt_num_crops","diversif_alt2:size_catpequeno_<2ha",0.114194777869512,0.0569951682832666,2.00358699358448,0.0451822758722573,1.12097044385645
"alt_outcome_two_plus","(Intercept)",-1.09284853163655,0.45394137887723,-2.40746621147335,0.0161090755003023,0.335260133146005
"alt_outcome_two_plus","diversificacion_area",1.28989652905518,0.360190353982971,3.58115234012113,0.000346187754796981,3.6324106873416
"alt_outcome_two_plus","size_catmediano_2_5ha",0.407877136505262,0.34250822608115,1.19085354875133,0.233782404409437,1.50362240951673
"alt_outcome_two_plus","size_catpequeno_<2ha",0.192029799778828,0.440215122926365,0.436218089243038,0.662702266226158,1.21170662501632
"alt_outcome_two_plus","log_area",-0.171692961902517,0.159736231281802,-1.07485296557186,0.28250599825758,0.842237732543708
"alt_outcome_two_plus","region_natural2",1.12916560065206,0.130041509286161,8.68311669750994,5.53859441170862e-18,3.09307456369239
"alt_outcome_two_plus","region_natural3",-1.16760938128982,0.145557381237525,-8.02164322662879,1.36190491274188e-15,0.311109797871959
"alt_outcome_two_plus","diversificacion_area:size_catmediano_2_5ha",-0.264961754708497,0.609981089083682,-0.434376998648474,0.664038346211748,0.767235292552159
"alt_outcome_two_plus","diversificacion_area:size_catpequeno_<2ha",0.0860186586559772,0.494576967310405,0.17392370518943,0.861934305807645,1.0898266628162
"small_only","(Intercept)",-0.00397689999074438,0.230702519115476,-0.0172382165829484,0.986247806863144,0.996030997403506
"small_only","diversificacion_area",1.36222065145055,0.322210697901355,4.22773253750747,2.43645547323048e-05,3.90485500285252
"small_only","log_area",0.337702461128906,0.328819619315714,1.02701433032395,0.304502746150337,1.40172337416198
"small_only","region_natural2",1.53104145924071,0.211536917722389,7.23770335563824,5.87178376296145e-13,4.62298897061979
"small_only","region_natural3",-0.787891275885262,0.216223275946037,-3.64387817379058,0.000273456658719006,0.454802838515939
